Date,SPY,TLT
03/02/2003,64.605087,53.735397
02/01/2003,65.487793,52.121017
02/12/2002,67.139069,52.422878
01/11/2002,71.164848,50.153248
01/10/2002,67.03035,50.616966
03/09/2002,61.934166,52.558655
01/08/2002,69.188774,50.411541
01/07/2002,68.721382,
03/06/2002,74.601448,
01/05/2002,80.546379,
01/04/2002,81.027161,
01/03/2002,86.030319,
01/02/2002,83.260193,
02/01/2002,84.780823,
03/12/2001,85.619789,
01/11/2001,85.139671,
01/10/2001,78.980949,
04/09/2001,77.965698,
01/08/2001,84.895775,
02/07/2001,90.250565,
01/06/2001,91.180214,
01/05/2001,93.406013,
02/04/2001,93.932564,
01/03/2001,86.538696,
01/02/2001,91.675957,
02/01/2001,101.342804,
01/12/2000,97.028969,
01/11/2000,97.538712,
02/10/2000,105.407722,
01/09/2000,105.90316,
01/08/2000,112.050468,
03/07/2000,105.17807,
01/06/2000,106.855927,
01/05/2000,104.793434,
03/04/2000,106.467346,
01/03/2000,110.342674,
01/02/2000,100.593689,
03/01/2000,102.149025,
01/12/1999,107.501213,
01/11/1999,101.69352,
01/10/1999,100.027946,
01/09/1999,94.004364,
02/08/1999,96.152115,
01/07/1999,96.652672,
01/06/1999,99.747017,
03/05/1999,94.513,
01/04/1999,96.724716,
01/03/1999,93.186005,
01/02/1999,89.475639,
04/01/1999,92.440018,
01/12/1998,89.294609,
02/11/1998,83.811478,
01/10/1998,79.390854,
01/09/1998,73.436539,
03/08/1998,69.042694,
01/07/1998,80.392448,
01/06/1998,81.493759,
01/05/1998,78.165924,
01/04/1998,79.823792,
02/03/1998,78.815666,
02/02/1998,75.149605,
02/01/1998,70.279625,
01/12/1997,69.386047,
03/11/1997,68.087494,
01/10/1997,65.550903,
02/09/1997,67.197464,
01/08/1997,64.114182,
01/07/1997,67.616959,
02/06/1997,62.650993,
01/05/1997,60.177509,
01/04/1997,56.599983,
03/03/1997,53.265411,
03/02/1997,55.724079,
02/01/1997,55.196098,
02/12/1996,51.984207,
01/11/1996,53.25148,
01/10/1996,49.628387,
03/09/1996,48.074116,
01/08/1996,45.530216,
01/07/1996,44.669899,
03/06/1996,46.771614,
01/05/1996,46.362656,
01/04/1996,45.333561,
01/03/1996,44.846119,
01/02/1996,44.087025,
02/01/1996,43.946774,
01/12/1995,42.436943,
01/11/1995,41.779644,
02/10/1995,40.000454,
01/09/1995,40.118301,
01/08/1995,38.487366,
03/07/1995,38.316784,
01/06/1995,37.122715,
01/05/1995,36.386642,
03/04/1995,34.998146,
01/03/1995,33.991215,
01/02/1995,33.070312,
03/01/1995,31.773626,
01/12/1994,30.740541,
