Date,RAV Index,RAG Index,,,Date,RAV Index,RAG Index,,
01/06/2022,2045.645,1880.001,,,01/06/2022,17.4892,29.4644,,
31/05/2022,2060.039,1895.136,,,31/05/2022,17.6128,29.7015,,
27/05/2022,2078.051,1906.934,,,27/05/2022,17.7664,29.9084,,
26/05/2022,2040.781,1846.281,,,26/05/2022,17.458,28.9574,,
25/05/2022,2010.765,1798.116,,,25/05/2022,17.2009,28.2019,,
24/05/2022,1994.727,1771.377,,,24/05/2022,17.0603,27.7834,,
23/05/2022,1995.094,1809.499,,,23/05/2022,17.0649,28.3685,,
20/05/2022,1960.659,1779.176,,,20/05/2022,16.7748,27.8975,,
19/05/2022,1956.526,1783.291,,,19/05/2022,16.7401,27.9618,,
18/05/2022,1967.903,1787.374,,,18/05/2022,16.8921,28.0311,,
17/05/2022,2034.596,1877.329,,,17/05/2022,17.495,29.4418,,
16/05/2022,1998.063,1832.392,,,16/05/2022,17.0971,28.7333,,
13/05/2022,1996.668,1853.635,,,13/05/2022,17.0853,29.0742,,
12/05/2022,1962.755,1789.774,,,12/05/2022,16.798,28.0729,,
11/05/2022,1960.125,1789.261,,,11/05/2022,16.776,28.0618,,
10/05/2022,1973.685,1843.852,,,10/05/2022,16.8934,28.921,,
09/05/2022,1979.996,1829.53,,,09/05/2022,16.9434,28.6966,,
06/05/2022,2037.044,1908.611,,,06/05/2022,17.4273,29.9429,,
05/05/2022,2044.704,1932.327,,,05/05/2022,17.4975,30.314,,
04/05/2022,2098.166,2031.268,,,04/05/2022,17.9487,31.7998,,
03/05/2022,2044.144,1967.894,,,03/05/2022,17.5196,30.8076,,
02/05/2022,2025.87,1967.479,,,02/05/2022,17.3629,30.8042,,
29/04/2022,2025.443,1941.85,,,29/04/2022,17.3452,30.6251,,
28/04/2022,2086.604,2027.219,,,28/04/2022,17.8669,31.9798,,
27/04/2022,2054.2,1962.878,,,27/04/2022,17.5798,30.9656,,
26/04/2022,2054.018,1957.531,,,26/04/2022,17.5781,30.8766,,
25/04/2022,2097.123,2033.772,,,25/04/2022,17.9503,32.079,,
22/04/2022,2096.198,2008.449,,,22/04/2022,17.9426,31.6808,,
21/04/2022,2152.29,2067.537,,,21/04/2022,18.4214,32.6156,,
20/04/2022,2181.465,2109.068,,,20/04/2022,18.671,33.2702,,
19/04/2022,2165.798,2128.603,,,19/04/2022,18.5368,33.5789,,
18/04/2022,2137.458,2083.473,,,18/04/2022,18.254,32.8672,,
14/04/2022,2140.182,2087.792,,,14/04/2022,18.2765,32.9245,,
13/04/2022,2151.362,2128.583,,,13/04/2022,18.166,33.4795,,
12/04/2022,2133.938,2092.302,,,12/04/2022,17.9848,32.966,,
11/04/2022,2139.588,2099.209,,,11/04/2022,18.0324,33.0751,,
08/04/2022,2159.107,2145.553,,,08/04/2022,18.4483,33.8059,,
07/04/2022,2149.347,2169.394,,,07/04/2022,18.3652,34.1852,,
06/04/2022,2141.978,2163.017,,,06/04/2022,18.3039,34.0846,,
05/04/2022,2141.051,2210.928,,,05/04/2022,18.2956,34.841,,
04/04/2022,2159.217,2256.073,,,04/04/2022,18.4525,35.552,,
01/04/2022,2162.94,2217.985,,,01/04/2022,18.5498,34.9747,,
31/03/2022,2152.113,2209.799,,,31/03/2022,18.4616,34.8691,,
30/03/2022,2184.38,2245.01,,,30/03/2022,19.2678,36.4439,,
29/03/2022,2193.064,2272.126,,,29/03/2022,19.3414,36.8665,,
28/03/2022,2171.041,2230.262,,,28/03/2022,19.1472,36.1847,,
25/03/2022,2172.406,2198.863,,,25/03/2022,19.1714,35.8947,,
24/03/2022,2151.994,2201.943,,,24/03/2022,18.9907,35.9418,,
23/03/2022,2131.38,2162.873,,,23/03/2022,18.8097,35.3062,,
22/03/2022,2155.877,2194.286,,,22/03/2022,19.0262,35.8156,,
21/03/2022,2142.613,2156.612,,,21/03/2022,18.9083,35.1953,,
18/03/2022,2140.184,2166.162,,,18/03/2022,18.6982,34.5651,,
17/03/2022,2131.63,2122.097,,,17/03/2022,18.6169,33.8634,,
16/03/2022,2106.51,2091.184,,,16/03/2022,18.3974,33.3701,,
15/03/2022,2073.215,2024.13,,,15/03/2022,18.1139,32.3009,,
14/03/2022,2048.518,1965.766,,,14/03/2022,17.8928,31.3699,,
11/03/2022,2052.485,2000.088,,,11/03/2022,17.9284,31.9152,,
10/03/2022,2069.458,2040.389,,,10/03/2022,18.0854,32.491,,
09/03/2022,2070.987,2056.436,,,09/03/2022,18.0991,32.7487,,
08/03/2022,2036.155,1984.072,,,08/03/2022,17.7938,31.5951,,
07/03/2022,2050.598,1992.143,,,07/03/2022,17.9255,31.7235,,
04/03/2022,2097.587,2072.62,,,04/03/2022,18.3285,32.9979,,
03/03/2022,2106.515,2105.025,,,03/03/2022,18.4088,33.5276,,
02/03/2022,2107.154,2135.931,,,02/03/2022,18.4371,34.0298,,
01/03/2022,2063.97,2100.066,,,01/03/2022,18.0595,33.4591,,
28/02/2022,2098.21,2132.281,,,28/02/2022,18.3622,34.0038,,
25/02/2022,2108.119,2127.428,,,25/02/2022,18.4685,33.9572,,
24/02/2022,2049.92,2091.953,,,24/02/2022,17.9577,33.3912,,
23/02/2022,2045.908,2025.232,,,23/02/2022,17.9222,32.3307,,
22/02/2022,2072.766,2076.964,,,22/02/2022,18.1593,33.1575,,
18/02/2022,2090.333,2104.16,,,18/02/2022,18.3083,33.594,,
17/02/2022,2100.379,2127.7,,,17/02/2022,18.398,33.9696,,
16/02/2022,2133.663,2190.991,,,16/02/2022,18.6896,34.9804,,
15/02/2022,2129.663,2193.502,,,15/02/2022,18.6538,35.0202,,
14/02/2022,2104.823,2143.842,,,14/02/2022,18.4371,34.2251,,
11/02/2022,2121.934,2143.944,,,11/02/2022,18.5903,34.2549,,
10/02/2022,2142.302,2204.325,,,10/02/2022,18.7682,35.2129,,
09/02/2022,2172.313,2251.971,,,09/02/2022,19.0407,35.9706,,
08/02/2022,2148.448,2207.021,,,08/02/2022,18.8326,35.2527,,
07/02/2022,2132.719,2182.562,,,07/02/2022,18.6932,34.8617,,
04/02/2022,2130.313,2196.727,,,04/02/2022,18.7039,35.1015,,
03/02/2022,2129.875,2169.703,,,03/02/2022,18.703,34.7388,,
02/02/2022,2154.462,2253.105,,,02/02/2022,18.9168,36.0751,,
01/02/2022,2139.394,2239.995,,,01/02/2022,18.7777,35.8647,,
31/01/2022,2123.037,2222.783,,,31/01/2022,18.6319,35.5869,,
28/01/2022,2097.92,2156.399,,,28/01/2022,18.41,34.8018,,
27/01/2022,2068.441,2084.527,,,27/01/2022,18.1398,33.6581,,
26/01/2022,2077.976,2104.798,,,26/01/2022,18.2152,33.9923,,
25/01/2022,2091.44,2104.164,,,25/01/2022,18.351,33.982,,
24/01/2022,2100.58,2152.349,,,24/01/2022,18.4296,34.7616,,
21/01/2022,2095.465,2135.221,,,21/01/2022,18.3675,34.4841,,
20/01/2022,2124.483,2189.97,,,20/01/2022,18.621,35.6083,,
19/01/2022,2146.299,2219.201,,,19/01/2022,18.8098,36.0619,,
18/01/2022,2166.246,2243.923,,,18/01/2022,18.8582,36.2312,,
14/01/2022,2200.172,2298.47,,,14/01/2022,19.155,37.1144,,
13/01/2022,2202.98,2293.556,,,13/01/2022,19.1801,36.9711,,
12/01/2022,2211.306,2351.139,,,12/01/2022,19.2522,37.8995,,
11/01/2022,2210.276,2345.441,,,11/01/2022,19.2433,37.807,,
10/01/2022,2192.707,2318.306,,,10/01/2022,19.0907,37.3671,,
07/01/2022,2196.872,2320.741,,,07/01/2022,19.2296,37.3975,,
06/01/2022,2192.798,2347.375,,,06/01/2022,19.1951,37.8264,,
05/01/2022,2187.306,2353.119,,,05/01/2022,19.1464,37.9182,,
04/01/2022,2209.37,2432.329,,,04/01/2022,19.3266,39.1953,,
03/01/2022,2191.074,2458.167,,,03/01/2022,19.174,39.6122,,
31/12/2021,2181.555,2439.841,,,31/12/2021,19.113,39.4722,,
30/12/2021,2181.788,2452.501,,,30/12/2021,21.7622,42.8135,,
29/12/2021,2183.965,2460.217,,,29/12/2021,21.7834,42.9231,,
28/12/2021,2179.22,2459.131,,,28/12/2021,21.7277,42.9243,,
27/12/2021,2176.19,2471.107,,,27/12/2021,21.639,43.0895,,
23/12/2021,2153.082,2435.558,,,23/12/2021,21.4666,43.1916,,
22/12/2021,2141.75,2417.301,,,22/12/2021,21.3355,42.8664,,
21/12/2021,2127.505,2387.68,,,21/12/2021,21.2358,42.3411,,
20/12/2021,2094.374,2332.336,,,20/12/2021,20.9008,41.3614,,
17/12/2021,2118.648,2362.783,,,17/12/2021,20.7556,41.0462,,
16/12/2021,2143.333,2369.714,,,16/12/2021,20.9997,41.1696,,
15/12/2021,2135.816,2424.417,,,15/12/2021,20.8663,42.1156,,
14/12/2021,2115.739,2372.077,,,14/12/2021,20.667,41.2117,,
13/12/2021,2121.358,2402.451,,,13/12/2021,20.7099,41.7211,,
10/12/2021,2133.182,2434.044,,,10/12/2021,20.811,42.2553,,
09/12/2021,2123.07,2411.422,,,09/12/2021,20.7144,41.8602,,
08/12/2021,2133.507,2444.839,,,08/12/2021,20.8375,42.4408,,
07/12/2021,2130.731,2427.925,,,07/12/2021,20.813,42.1478,,
06/12/2021,2104.573,2358.308,,,06/12/2021,20.5579,40.939,,
03/12/2021,2074.717,2334.374,,,03/12/2021,20.2632,40.4688,,
02/12/2021,2081.437,2375.489,,,02/12/2021,20.3233,41.1135,,
01/12/2021,2037.576,2349.131,,,01/12/2021,19.9089,40.6784,,
30/11/2021,2058.573,2392.983,,,30/11/2021,20.1134,41.4261,,
29/11/2021,2109.688,2431.741,,,29/11/2021,20.656,42.1396,,
26/11/2021,2101.593,2389.928,,,26/11/2021,20.5779,41.4194,,
24/11/2021,2152.276,2445.357,,,24/11/2021,21.0391,42.3815,,
23/11/2021,2153.296,2431.222,,,23/11/2021,21.0478,42.1403,,
22/11/2021,2140.206,2442.14,,,22/11/2021,20.9171,42.3595,,
19/11/2021,2130.874,2473.253,,,19/11/2021,20.8299,42.9069,,
18/11/2021,2149.656,2466.768,,,18/11/2021,21.0191,42.7932,,
17/11/2021,2158.819,2449.614,,,17/11/2021,21.1078,42.4945,,
16/11/2021,2170.574,2456.551,,,16/11/2021,21.22,42.6127,,
15/11/2021,2174.429,2433.966,,,15/11/2021,21.3288,42.2189,,
12/11/2021,2172.932,2437.385,,,12/11/2021,21.293,42.2756,,
11/11/2021,2167.643,2410.281,,,11/11/2021,21.2401,41.8039,,
10/11/2021,2166.063,2405.526,,,10/11/2021,21.2197,41.7392,,
09/11/2021,2174.646,2442.487,,,09/11/2021,21.313,42.3855,,
08/11/2021,2177.982,2454.202,,,08/11/2021,21.345,42.6008,,
05/11/2021,2173.806,2451.659,,,05/11/2021,21.3704,42.5634,,
04/11/2021,2160.895,2446.738,,,04/11/2021,21.2394,42.4691,,
03/11/2021,2170.862,2421.998,,,03/11/2021,21.3404,42.0385,,
02/11/2021,2157.908,2401.295,,,02/11/2021,21.2093,41.7194,,
01/11/2021,2152.533,2393.596,,,01/11/2021,21.1438,41.5862,,
29/10/2021,2137.801,2388.314,,,29/10/2021,21.0038,41.8264,,
28/10/2021,2141.143,2377.128,,,28/10/2021,21.054,41.6834,,
27/10/2021,2120.729,2348.911,,,27/10/2021,20.8544,41.1888,,
26/10/2021,2151.26,2351.644,,,26/10/2021,21.1543,41.2347,,
25/10/2021,2152.088,2348.654,,,25/10/2021,21.1623,41.1826,,
22/10/2021,2148.047,2330.192,,,22/10/2021,21.1233,40.8584,,
21/10/2021,2143.235,2341.521,,,21/10/2021,21.0759,41.0578,,
20/10/2021,2146.079,2322.963,,,20/10/2021,21.1036,40.7322,,
19/10/2021,2125.923,2325.934,,,19/10/2021,20.903,40.785,,
18/10/2021,2110.919,2310.42,,,18/10/2021,20.7549,40.5106,,
15/10/2021,2116.107,2289.659,,,15/10/2021,20.8043,40.1465,,
14/10/2021,2104.638,2274.293,,,14/10/2021,20.6918,39.8827,,
13/10/2021,2072.094,2235.039,,,13/10/2021,20.3713,39.1943,,
12/10/2021,2070.046,2219.327,,,12/10/2021,20.3516,38.9191,,
11/10/2021,2072.71,2219.263,,,11/10/2021,20.3809,38.9273,,
08/10/2021,2088.602,2232.506,,,08/10/2021,20.5379,39.1837,,
07/10/2021,2089.971,2243.098,,,07/10/2021,20.5474,39.3576,,
06/10/2021,2072.958,2219.579,,,06/10/2021,20.3801,38.9453,,
05/10/2021,2069.834,2207.135,,,05/10/2021,20.3492,38.7233,,
04/10/2021,2055.454,2179.365,,,04/10/2021,20.2171,38.1866,,
01/10/2021,2065.035,2227.494,,,01/10/2021,20.4963,39.0944,,
30/09/2021,2038.656,2203.976,,,30/09/2021,20.2698,38.7152,,
29/09/2021,2068.997,2220.456,,,29/09/2021,23.2103,42.2724,,
28/09/2021,2063.145,2223.193,,,28/09/2021,23.17,42.3251,,
27/09/2021,2090.03,2288.208,,,27/09/2021,23.4702,43.5706,,
24/09/2021,2080.021,2305.525,,,24/09/2021,23.4268,44.7229,,
23/09/2021,2078.31,2305.131,,,23/09/2021,23.4139,44.6903,,
22/09/2021,2048.964,2281.018,,,22/09/2021,23.0809,44.2605,,
21/09/2021,2028.031,2259.043,,,21/09/2021,22.8469,43.7986,,
20/09/2021,2034.376,2253.458,,,20/09/2021,22.9185,43.6901,,
17/09/2021,2066.568,2298.435,,,17/09/2021,22.454,42.8422,,
16/09/2021,2077.186,2321.852,,,16/09/2021,22.5224,43.2811,,
15/09/2021,2084.373,2318.003,,,15/09/2021,22.5776,43.2091,,
14/09/2021,2064.827,2300.264,,,14/09/2021,22.395,42.8706,,
13/09/2021,2086.19,2306.939,,,13/09/2021,22.6324,42.9953,,
10/09/2021,2073.714,2309.87,,,10/09/2021,22.3392,43.0514,,
09/09/2021,2089.651,2328.764,,,09/09/2021,22.4983,43.3923,,
08/09/2021,2098.522,2336.953,,,08/09/2021,22.5937,43.5436,,
07/09/2021,2100.985,2345.72,,,07/09/2021,22.6195,43.7062,,
03/09/2021,2118.465,2347.156,,,03/09/2021,22.8009,43.7417,,
02/09/2021,2126.617,2340.936,,,02/09/2021,22.8912,43.6549,,
01/09/2021,2113.459,2338.895,,,01/09/2021,22.7819,43.6357,,
31/08/2021,2113.457,2333.311,,,31/08/2021,22.7811,43.5317,,
30/08/2021,2114.278,2339.247,,,30/08/2021,22.8132,43.7311,,
27/08/2021,2120.955,2317.512,,,27/08/2021,22.9053,43.4239,,
26/08/2021,2100.066,2291.824,,,26/08/2021,22.6769,42.9415,,
25/08/2021,2114.279,2305.23,,,25/08/2021,22.8098,43.1479,,
24/08/2021,2106.252,2301.378,,,24/08/2021,22.723,43.0799,,
23/08/2021,2098.684,2294.564,,,23/08/2021,22.6419,42.9536,,
20/08/2021,2085.322,2265.552,,,20/08/2021,22.4964,42.4108,,
19/08/2021,2071.286,2240.525,,,19/08/2021,22.3456,41.9049,,
18/08/2021,2079.129,2235.121,,,18/08/2021,22.4384,41.8371,,
17/08/2021,2102.35,2256.416,,,17/08/2021,22.6875,42.2315,,
16/08/2021,2113.776,2278.226,,,16/08/2021,22.8112,42.6402,,
13/08/2021,2113.857,2275.39,,,13/08/2021,22.7861,42.5756,,
12/08/2021,2115.396,2271.744,,,12/08/2021,22.8035,42.4921,,
11/08/2021,2114.652,2260.974,,,11/08/2021,22.7952,42.2811,,
10/08/2021,2101.151,2264.539,,,10/08/2021,22.6513,42.3439,,
09/08/2021,2088.823,2274.875,,,09/08/2021,22.4984,42.5355,,
06/08/2021,2093.127,2274.716,,,06/08/2021,22.5607,42.5325,,
05/08/2021,2079.484,2283.84,,,05/08/2021,22.4146,42.7019,,
04/08/2021,2065.785,2266.446,,,04/08/2021,22.2672,42.3773,,
03/08/2021,2086.909,2265.851,,,03/08/2021,22.4962,42.3601,,
02/08/2021,2070.261,2251.299,,,02/08/2021,22.2651,42.0926,,
30/07/2021,2075.338,2253.551,,,30/07/2021,22.4418,42.7903,,
29/07/2021,2083.654,2270.113,,,29/07/2021,22.5625,43.1345,,
28/07/2021,2069.864,2265.816,,,28/07/2021,22.4626,43.0513,,
27/07/2021,2069.396,2258.204,,,27/07/2021,22.4573,42.9036,,
26/07/2021,2070.332,2281.614,,,26/07/2021,22.4673,43.3525,,
23/07/2021,2062.733,2280.909,,,23/07/2021,22.3675,43.3129,,
22/07/2021,2051.01,2250.628,,,22/07/2021,22.2393,42.7395,,
21/07/2021,2060.565,2238.508,,,21/07/2021,22.3434,42.5091,,
20/07/2021,2039.93,2219.943,,,20/07/2021,22.0964,42.2063,,
19/07/2021,2004.027,2183.592,,,19/07/2021,21.704,41.5099,,
16/07/2021,2043.329,2207.504,,,16/07/2021,22.1437,41.9645,,
15/07/2021,2060.188,2222.318,,,15/07/2021,22.3327,42.246,,
14/07/2021,2061.324,2235.894,,,14/07/2021,22.3451,42.504,,
13/07/2021,2066.456,2237.124,,,13/07/2021,22.401,42.5281,,
12/07/2021,2084.319,2243.543,,,12/07/2021,22.6076,42.6196,,
09/07/2021,2077.042,2239.607,,,09/07/2021,22.5221,42.5471,,
08/07/2021,2044.245,2219.208,,,08/07/2021,22.1635,42.1598,,
07/07/2021,2066.013,2235.112,,,07/07/2021,22.3994,42.4625,,
06/07/2021,2063.636,2230.966,,,06/07/2021,22.3736,42.3951,,
02/07/2021,2084.201,2221.137,,,02/07/2021,22.9216,42.4178,,
01/07/2021,2081.629,2199.506,,,01/07/2021,22.9774,42.1226,,
30/06/2021,2067.858,2192.535,,,30/06/2021,22.8253,42.0022,,
29/06/2021,2061.166,2197.223,,,29/06/2021,27.5535,47.267,,
28/06/2021,2068.061,2191.01,,,28/06/2021,27.6518,47.1588,,
25/06/2021,2079.27,2173.13,,,25/06/2021,26.7133,46.3382,,
24/06/2021,2067.04,2170.417,,,24/06/2021,26.523,46.295,,
23/06/2021,2052.198,2157.589,,,23/06/2021,26.3508,46.0171,,
22/06/2021,2055.375,2156.649,,,22/06/2021,26.3802,45.9972,,
21/06/2021,2052.615,2136.66,,,21/06/2021,26.3575,45.5734,,
18/06/2021,2013.205,2117.43,,,18/06/2021,25.8034,45.164,,
17/06/2021,2051.622,2133.226,,,17/06/2021,26.299,45.5042,,
16/06/2021,2079.113,2108.564,,,16/06/2021,26.65,44.9781,,
15/06/2021,2092.226,2116.083,,,15/06/2021,26.8276,45.1324,,
14/06/2021,2090.529,2129.448,,,14/06/2021,26.8118,45.4212,,
11/06/2021,2102.1,2112.353,,,11/06/2021,26.9656,45.0942,,
10/06/2021,2095.647,2105.674,,,10/06/2021,26.8374,44.6955,,
09/06/2021,2098.876,2084.499,,,09/06/2021,26.8797,44.2467,,
08/06/2021,2108.718,2085.077,,,08/06/2021,27.0106,44.2589,,
07/06/2021,2106.611,2081.024,,,07/06/2021,26.9839,44.1769,,
04/06/2021,2110.935,2072.18,,,04/06/2021,27.0276,43.9859,,
03/06/2021,2103.179,2044.2,,,03/06/2021,26.9267,43.3915,,
02/06/2021,2105.674,2061.43,,,02/06/2021,26.9335,43.618,,
01/06/2021,2104.235,2058.344,,,01/06/2021,26.9137,43.55,,
28/05/2021,2094.205,2066.489,,,28/05/2021,26.9663,44.041,,
